City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Florence,90,US,1529590500,94,34.8,-87.68,23.0,2.6
Krasnoyarskiy,48,RU,1529591771,31,51.97,59.9,21.97,6.71
Yoichi,88,JP,1529591771,97,43.19,140.77,13.57,0.86
Koumac,12,NC,1529591771,94,-20.56,164.28,17.12,3.46
Portland,90,US,1529590620,82,45.52,-122.67,17.0,2.6
Geraldton,5,CA,1529589600,48,49.72,-86.95,16.0,2.1
Kui Buri,68,TH,1529591772,88,12.07,99.86,24.92,1.81
Kanjiza,75,RS,1529588700,45,46.06,20.05,31.0,2.6
Veinticinco de Mayo,12,AR,1529591772,53,-27.38,-54.75,26.42,4.26
Qinhuangdao,0,CN,1529591472,81,39.94,119.59,17.72,1.16
Mabaruma,48,GY,1529591772,78,8.2,-59.78,29.27,1.96
Ubinskoye,8,RU,1529591772,63,55.31,79.68,20.22,4.36
Laguna,5,MX,1529588400,51,27.52,-110.01,27.0,2.6
Kirkland Lake,1,CA,1529589600,57,48.15,-80.03,10.0,1.5
Nhulunbuy,90,AU,1529589600,73,-12.18,136.78,24.0,5.1
Tonneins,0,FR,1529589600,62,44.39,0.31,31.0,3.1
Shingu,32,JP,1529591773,95,33.72,135.99,21.92,3.86
Khani,40,GE,1529589600,69,41.96,42.96,28.0,6.2
North Platte,1,US,1529589180,82,41.12,-100.77,18.0,4.6
Woodward,75,US,1529590500,56,36.43,-99.39,21.0,3.1
Scarborough,48,GB,1529589000,41,54.28,-0.41,18.0,4.1
Trabzon,40,TR,1529589000,69,41.01,39.72,26.0,2.1
Puerto Escondido,75,MX,1529588700,78,15.86,-97.07,26.0,1.5
Orangeville,1,CA,1529589600,48,43.92,-80.1,21.0,4.6
Brae,75,GB,1529589000,71,60.4,-1.35,10.0,9.3
Lyngseidet,75,NO,1529589000,87,69.58,20.21,8.0,2.6
Nayudupeta,44,IN,1529591774,79,13.91,79.9,27.17,2.21
Jiaonan,0,CN,1529589600,65,35.88,119.98,25.0,5.0
Tenno,40,IT,1529589300,82,45.92,10.83,31.0,1.5
Benghazi,40,LY,1529589600,48,32.12,20.07,29.0,12.9
Port Macquarie,90,AU,1529589600,93,-31.43,152.91,11.0,2.6
Cherskiy,0,RU,1529591775,80,68.75,161.3,8.12,0.96
Nuevo Laredo,90,US,1529590500,88,27.49,-99.5,25.0,5.1
Port Hardy,90,CA,1529590680,93,50.7,-127.42,11.0,2.1
Port Elizabeth,90,US,1529589660,88,39.31,-74.98,25.0,4.1
Turayf,0,SA,1529589600,18,31.68,38.65,33.0,5.1
Santa Maria,0,BR,1529586000,60,-29.69,-53.81,24.0,4.6
Isla Vista,90,US,1529589300,82,34.41,-119.86,16.0,2.6
Allonnes,0,FR,1529589600,46,47.97,0.16,23.0,5.7
Hazorasp,90,UZ,1529589600,31,41.32,61.08,31.0,3.1
Ajdabiya,0,LY,1529591777,24,30.75,20.22,34.07,5.26
Bageshwar,0,IN,1529591777,84,29.85,79.77,15.12,0.71
Busselton,48,AU,1529591777,100,-33.64,115.35,14.62,2.21
Robertson,0,ZA,1529591778,38,-33.8,19.88,14.97,3.01
Clyde River,75,CA,1529589600,100,70.47,-68.59,3.0,2.6
