City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Mogocha,0,RU,1529585707,88,53.73,119.76,15.48,1.16
Buala,76,SB,1529585707,90,-8.15,159.59,28.13,4.46
Lucapa,0,AO,1529585414,37,-8.42,20.74,30.53,2.46
Novo Aripuana,48,BR,1529585707,91,-5.12,-60.38,24.33,1.41
Lixourion,40,GR,1529583600,54,38.2,20.43,30.0,5.66
Clyde River,90,CA,1529582400,100,70.47,-68.59,1.0,3.6
Baixa Grande,88,BR,1529585708,91,-11.96,-40.17,20.68,2.06
Mombasa,40,KE,1529582400,74,-4.05,39.67,28.0,5.1
Port Hedland,0,AU,1529582400,39,-20.31,118.58,18.0,3.6
Reconquista,20,AR,1529585709,81,-29.14,-59.64,18.63,1.86
Sovetskaya Gavan,92,RU,1529585709,96,48.97,140.29,9.38,1.41
Bandarbeyla,12,SO,1529585709,77,9.49,50.81,26.68,15.21
Makakilo City,1,US,1529582220,78,21.35,-158.09,26.0,2.1
Orlik,48,RU,1529585709,65,52.51,99.83,15.13,0.86
Chuy,100,UY,1529585709,95,-33.69,-53.46,16.43,9.56
Oussouye,20,SN,1529582400,66,12.49,-16.54,32.0,3.1
Alyangula,0,AU,1529585710,98,-13.85,136.42,23.43,6.41
Morag,88,PL,1529585710,45,53.92,19.93,27.68,7.66
Danilov,0,RU,1529585710,49,58.19,40.17,20.33,7.91
Guerrero Negro,76,MX,1529585710,100,27.97,-114.04,14.53,3.01
Upernavik,80,GL,1529585710,92,72.79,-56.15,0.73,2.41
Ushuaia,90,AR,1529582400,100,-54.81,-68.31,-1.0,12.9
Port Hardy,90,CA,1529582400,93,50.7,-127.42,11.0,2.6
Hovd,75,NO,1529583600,71,63.83,10.7,12.0,5.7
Delvine,20,AL,1529583600,62,39.95,20.1,29.0,2.1
Marin,20,RO,1529584200,45,47.13,22.81,30.0,1.0
Koumac,20,NC,1529585711,93,-20.56,164.28,17.78,3.41
Pavilosta,64,LV,1529583600,77,56.89,21.19,20.0,6.2
Yoichi,12,JP,1529585711,98,43.19,140.77,13.78,0.31
Butaritari,92,KI,1529585712,100,3.07,172.79,28.78,3.01
Fushe-Arrez,56,AL,1529585712,59,42.06,20.02,24.73,0.61
Bosobolo,12,CD,1529585712,96,4.19,19.88,27.58,2.21
Sokoni,0,CD,1529585712,30,-12.89,28.78,26.43,1.76
Chase,1,US,1529584740,68,43.89,-85.64,19.0,3.6
Bubaque,40,GW,1529582400,62,11.28,-15.83,30.0,4.6
Parana,0,BR,1529582400,100,-7.52,-72.89,17.0,1.06
Matranovak,8,HU,1529585713,64,48.04,19.98,28.13,3.21
Tolaga Bay,92,NZ,1529585713,91,-38.37,178.3,10.03,7.41
Angoche,0,MZ,1529585713,97,-16.23,39.91,26.43,8.11
Ampanihy,0,MG,1529585714,44,-24.69,44.75,25.88,5.16
Jamestown,0,AU,1529585417,68,-33.21,138.6,-2.48,1.21
Birjand,20,IR,1529582400,4,32.86,59.22,36.0,4.1
Kirkland Lake,1,CA,1529582400,75,48.15,-80.03,7.0,2.1
Iranshahr,20,IR,1529582400,8,27.21,60.69,46.0,4.1
Saurimo,20,AO,1529582400,26,-9.66,20.4,29.0,1.81
Sawtell,75,AU,1529582400,76,-30.38,153.1,14.0,4.1
Lyngseidet,75,NO,1529583600,87,69.58,20.21,9.0,2.1
Nacala,0,MZ,1529585715,75,-14.56,40.69,28.63,6.51
Bambous Virieux,40,MU,1529582400,78,-20.34,57.76,25.0,3.1
Cabra,0,ES,1529584200,29,37.47,-4.43,33.0,2.1
Ayan,44,TR,1529585715,73,40.67,33.6,20.43,1.31
Severo-Kurilsk,92,RU,1529585716,100,50.68,156.12,4.23,4.21
Abu Kamal,0,SY,1529585716,19,34.45,40.92,35.68,5.91
Robe,12,ET,1529585716,71,7.12,40.01,19.78,1.91
Aksu,40,KZ,1529582400,37,52.04,76.93,28.0,4.0
Bethel,90,US,1529581980,87,60.79,-161.76,11.0,3.6
Calvinia,0,ZA,1529585717,45,-31.47,19.78,15.73,3.01
Hollins,40,US,1529583300,69,37.35,-79.95,25.0,2.6
Vanimo,0,PG,1529585717,100,-2.67,141.3,29.43,4.96
Broome,40,GB,1529583600,54,52.47,1.45,18.0,6.7
Constitucion,0,MX,1529585717,86,23.99,-104.67,10.43,1.06
Fecamp,0,FR,1529584200,58,49.76,0.37,16.0,6.7
Koupela,44,BF,1529585718,64,12.18,-0.35,32.98,5.21
Kanjiza,75,RS,1529583300,48,46.06,20.05,31.0,3.6
Geraldton,5,CA,1529582400,71,49.72,-86.95,11.0,1.5
Severodvinsk,75,RU,1529582400,71,64.56,39.82,14.0,5.0
Jitauna,76,BR,1529585718,98,-14.02,-39.89,20.53,2.41
Osmena,24,PH,1529585718,100,12.17,124.59,24.53,1.16
Sturgeon Falls,20,CA,1529582400,81,46.36,-79.93,7.0,4.6
Shingu,76,JP,1529585719,95,33.72,135.99,22.63,5.91
Bluff,68,AU,1529585719,70,-23.58,149.07,16.63,2.71
Pedernales,92,EC,1529585685,94,0.07,-80.05,21.18,1.96
Moyale,64,ET,1529585719,97,3.52,39.05,20.93,2.51
Cayenne,75,GF,1529584200,83,4.94,-52.33,27.0,1.0
Veinticinco de Mayo,0,AR,1529585720,84,-27.38,-54.75,16.63,2.11
Coquimbo,48,CL,1529582400,93,-29.95,-71.34,5.0,2.51
Namatanai,64,PG,1529585720,100,-3.66,152.44,27.83,1.26
Hermanus,0,ZA,1529585720,47,-34.42,19.24,16.53,5.86
Korem,48,ET,1529585720,22,12.51,39.52,28.53,2.21
Tres Arroyos,0,AR,1529585720,39,-38.38,-60.28,9.08,10.71
Kiunga,88,PG,1529585720,99,-6.12,141.3,22.18,0.96
Jalu,0,LY,1529585721,29,29.03,21.55,37.78,4.51
Laguna,0,MX,1529585721,82,27.52,-110.01,21.28,1.06
Nizhniy Tagil,92,RU,1529585649,67,57.92,59.97,12.63,4.41
Lishui,92,CN,1529585721,99,28.45,119.91,21.68,0.91
Kamennomostskiy,0,RU,1529585721,26,44.29,40.18,30.78,2.06
Nerchinskiy Zavod,0,RU,1529585721,64,51.31,119.61,18.88,1.76
Lima,20,PE,1529585721,74,-12.06,-77.04,10.08,0.86
Mayor Pablo Lagerenza,0,PY,1529585722,59,-19.93,-60.77,23.13,5.96
Pangnirtung,90,CA,1529582400,100,66.15,-65.72,1.0,5.1
Mosquera,40,CO,1529582400,93,4.71,-74.23,11.0,1.5
Torbay,75,CA,1529582400,48,47.66,-52.73,19.0,8.7
Souillac,20,FR,1529584200,48,45.6,-0.6,29.0,4.6
Ajdabiya,0,LY,1529585722,32,30.75,20.22,34.98,3.71
Lethem,68,GY,1529585722,100,3.38,-59.8,22.43,2.11
Mangai,0,CD,1529585722,45,-4.07,19.59,32.08,0.86
Rongcheng,44,CN,1529585722,80,37.16,122.42,22.18,3.91
Lindi,80,TZ,1529585723,65,-10.0,39.71,27.68,3.06
Kiruna,90,SE,1529583600,87,67.86,20.23,7.0,2.6
Bayburt,76,TR,1529585723,76,40.26,40.22,16.43,1.31
Simao,32,CN,1529585723,84,22.76,100.79,22.53,0.86
Jiuquan,56,CN,1529585723,52,39.73,98.49,21.08,0.91
Zhangye,0,CN,1529585723,62,38.94,100.46,24.93,1.41
Luderitz,0,NA,1529585723,72,-26.65,15.16,17.43,5.81
Binga,32,ZW,1529585724,55,-17.62,27.34,26.18,2.06
Santa Maria,0,BR,1529582400,72,-29.69,-53.81,19.0,3.1
Olmos,0,PE,1529585725,88,-5.99,-79.75,13.78,0.96
Manuk Mangkaw,48,PH,1529585725,100,4.8,119.85,28.78,3.06
Uyskoye,44,RU,1529585725,38,54.37,60.01,19.73,8.06
Saskylakh,92,RU,1529585726,66,71.97,114.09,16.38,5.81
Orangeville,1,CA,1529582400,77,43.92,-80.1,18.0,3.1
Galle,90,US,1529585460,88,29.74,-97.91,24.0,3.6
Adrar,0,DZ,1529582400,14,27.87,-0.29,40.0,10.8
Hualmay,8,PE,1529585726,96,-11.1,-77.61,10.38,0.56
Vilhena,0,BR,1529582400,64,-12.74,-60.15,23.0,1.36
Richards Bay,0,ZA,1529585727,72,-28.77,32.06,22.93,4.31
Biltine,32,TD,1529585727,61,14.53,20.93,32.33,2.41
Mikhaylovskoye,0,RU,1529585727,45,43.1,44.64,27.53,1.51
Chunskiy,68,RU,1529585727,52,56.08,99.63,23.68,1.76
Bang Len,20,TH,1529582400,79,14.02,100.17,30.0,2.6
Evensk,0,RU,1529585727,100,61.92,159.24,5.53,2.11
Mocuba,88,MZ,1529585727,68,-16.84,36.99,26.78,3.01
Montanha,92,BR,1529585727,74,-18.13,-40.37,21.28,2.06
Sobinka,36,RU,1529585728,48,55.99,40.02,22.73,8.86
Leh,92,IN,1529585728,99,34.16,77.58,0.08,0.71
Allonnes,0,FR,1529584200,49,47.97,0.16,22.0,6.2
Tanete,24,ID,1529585728,89,-3.94,119.78,25.28,3.41
Nayudupeta,64,IN,1529585728,94,13.91,79.9,27.18,2.21
Dunedin,0,NZ,1529585687,79,-45.87,170.5,-5.03,2.06
